1L;1;0.6;0.8;0.7;0.8;0.7;0.6;0.7;0.5;0.4;0.5;0.5;0.5;0.8;0.7;0.7;0.5;0.4;0.7;0.4;0.4;0.7;0.8;0.7;0.7;0.7;0.8;0.7;0.8;0.8;0.7;0.7;0.8;0.5;0.7
2L;0.6;1;0.4;0.4;0.5;0.4;0.3;0.5;0.3;0.2;0.4;0.3;0.3;0.4;0.4;0.4;0.2;0.2;0.4;0.2;0.2;0.3;0.4;0.4;0.4;0.4;0.4;0.3;0.4;0.4;0.3;0.4;0.4;0.3;0.4
3L;0.8;0.4;1;0.5;0.4;0.4;0.2;0.1;0.2;0.1;0.1;0.2;0.2;0.7;0.4;0.5;0.3;0.1;0.6;0.2;0.1;0.5;0.5;0.3;0.6;0.5;0.5;0.4;0.4;0.5;0.5;0.5;0.5;0.1;0.4
4L;0.7;0.4;0.5;1;0.6;0.6;0.4;0.4;0.3;0.3;0.3;0.3;0.2;0.8;0.7;0.7;0.6;0.3;0.8;0.4;0.3;0.6;0.7;0.5;0.6;0.8;0.7;0.7;0.6;0.8;0.7;0.7;0.7;0.3;0.7
6L;0.8;0.5;0.4;0.6;1;0.5;0.4;0.5;0.3;0.3;0.4;0.4;0.3;0.5;0.5;0.6;0.4;0.3;0.6;0.3;0.3;0.5;0.6;0.5;0.6;0.6;0.6;0.5;0.5;0.6;0.5;0.6;0.7;0.4;0.6
8L;0.7;0.4;0.4;0.6;0.5;1;0.5;0.4;0.3;0.4;0.4;0.5;0.4;0.5;0.5;0.6;0.5;0.4;0.6;0.5;0.5;0.6;0.5;0.5;0.5;0.7;0.6;0.7;0.5;0.7;0.5;0.5;0.6;0.4;0.6
9L;0.6;0.3;0.2;0.4;0.4;0.5;1;0.7;0.5;0.6;0.7;0.8;0.5;0.4;0.4;0.4;0.3;0.7;0.4;0.5;0.6;0.5;0.5;0.8;0.5;0.5;0.4;0.5;0.4;0.5;0.3;0.4;0.4;0.7;0.4
10L;0.7;0.5;0.1;0.4;0.5;0.4;0.7;1;0.6;0.5;0.7;0.6;0.4;0.3;0.4;0.2;0.4;0.8;0.2;0.5;0.7;0.2;0.4;0.7;0.5;0.3;0.4;0.5;0.3;0.5;0.3;0.3;0.4;0.6;0.4
11L;0.5;0.3;0.2;0.3;0.3;0.3;0.5;0.6;1;0.5;0.6;0.5;0.4;0.3;0.2;0.3;0.2;0.4;0.3;0.4;0.5;0.3;0.3;0.5;0.3;0.3;0.3;0.3;0.3;0.3;0.2;0.2;0.3;0.6;0.3
12L;0.4;0.2;0.1;0.3;0.3;0.4;0.6;0.5;0.5;1;0.8;0.7;0.4;0.3;0.3;0.3;0.3;0.9;0.3;0.5;0.7;0.4;0.4;0.5;0.4;0.2;0.3;0.2;0.3;0.3;0.3;0.2;0.3;0.7;0.3
14L;0.5;0.4;0.1;0.3;0.4;0.4;0.7;0.7;0.6;0.8;1;0.6;0.5;0.4;0.3;0.3;0.2;0.7;0.3;0.5;0.6;0.4;0.4;0.7;0.4;0.4;0.3;0.4;0.4;0.4;0.2;0.3;0.4;0.8;0.3
15L;0.5;0.3;0.2;0.3;0.4;0.5;0.8;0.6;0.5;0.7;0.6;1;0.5;0.4;0.3;0.3;0.3;0.7;0.4;0.7;0.7;0.5;0.4;0.7;0.5;0.4;0.4;0.4;0.4;0.4;0.3;0.3;0.4;0.7;0.4
16L;0.5;0.3;0.2;0.2;0.3;0.4;0.5;0.4;0.4;0.4;0.5;0.5;1;0.3;0.2;0.2;0.2;0.5;0.3;0.5;0.5;0.3;0.3;0.5;0.3;0.3;0.2;0.3;0.3;0.3;0.2;0.2;0.3;0.5;0.2
17L;0.8;0.4;0.7;0.8;0.5;0.5;0.4;0.3;0.3;0.3;0.4;0.4;0.3;1;0.6;0.7;0.2;0.3;0.7;0.4;0.3;0.5;0.6;0.5;0.5;0.7;0.7;0.6;0.5;0.7;0.7;0.6;0.7;0.4;0.6
18L;0.7;0.4;0.4;0.7;0.5;0.5;0.4;0.4;0.2;0.3;0.3;0.3;0.2;0.6;1;0.7;0.4;0.3;0.7;0.2;0.2;0.4;0.6;0.4;0.5;0.6;0.6;0.6;0.5;0.6;0.7;0.7;0.6;0.3;0.6
20L;0.7;0.4;0.5;0.7;0.6;0.6;0.4;0.2;0.3;0.3;0.3;0.3;0.2;0.7;0.7;1;0.7;0.3;0.9;0.3;0.3;0.5;0.6;0.4;0.5;0.8;0.7;0.7;0.5;0.8;0.7;0.7;0.7;0.3;0.7
21L;0.5;0.2;0.3;0.6;0.4;0.5;0.3;0.4;0.2;0.3;0.2;0.3;0.2;0.2;0.4;0.7;1;0.3;0.7;0.2;0.2;0.4;0.3;0.3;0.2;0.6;0.6;0.7;0.3;0.6;0.7;0.7;0.6;0.2;0.7
24L;0.4;0.2;0.1;0.3;0.3;0.4;0.7;0.8;0.4;0.9;0.7;0.7;0.5;0.3;0.3;0.3;0.3;1;0.3;0.6;0.6;0.4;0.4;0.6;0.4;0.3;0.3;0.4;0.3;0.3;0.3;0.3;0.3;0.7;0.3
26L;0.7;0.4;0.6;0.8;0.6;0.6;0.4;0.2;0.3;0.3;0.3;0.4;0.3;0.7;0.7;0.9;0.7;0.3;1;0.4;0.3;0.6;0.6;0.4;0.6;0.8;0.7;0.7;0.5;0.8;0.7;0.7;0.8;0.3;0.7
28L;0.4;0.2;0.2;0.4;0.3;0.5;0.5;0.5;0.4;0.5;0.5;0.7;0.5;0.4;0.2;0.3;0.2;0.6;0.4;1;0.7;0.5;0.4;0.5;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.3;0.4;0.5;0.3
30L;0.4;0.2;0.1;0.3;0.3;0.5;0.6;0.7;0.5;0.7;0.6;0.7;0.5;0.3;0.2;0.3;0.2;0.6;0.3;0.7;1;0.4;0.3;0.6;0.4;0.3;0.3;0.3;0.3;0.3;0.2;0.2;0.3;0.8;0.3
31L;0.7;0.3;0.5;0.6;0.5;0.6;0.5;0.2;0.3;0.4;0.4;0.5;0.3;0.5;0.4;0.5;0.4;0.4;0.6;0.5;0.4;1;0.5;0.5;0.7;0.6;0.5;0.5;0.5;0.6;0.4;0.5;0.5;0.4;0.4
32L;0.8;0.4;0.5;0.7;0.6;0.5;0.5;0.4;0.3;0.4;0.4;0.4;0.3;0.6;0.6;0.6;0.3;0.4;0.6;0.4;0.3;0.5;1;0.5;0.5;0.7;0.6;0.6;0.5;0.7;0.5;0.6;0.6;0.4;0.4
33L;0.7;0.4;0.3;0.5;0.5;0.5;0.8;0.7;0.5;0.5;0.7;0.7;0.5;0.5;0.4;0.4;0.3;0.6;0.4;0.5;0.6;0.5;0.5;1;0.6;0.6;0.4;0.4;0.5;0.5;0.4;0.4;0.5;0.7;0.4
34L;0.7;0.4;0.6;0.6;0.6;0.5;0.5;0.5;0.3;0.4;0.4;0.5;0.3;0.5;0.5;0.5;0.2;0.4;0.6;0.4;0.4;0.7;0.5;0.6;1;0.6;0.5;0.5;0.5;0.6;0.5;0.5;0.6;0.4;0.6
37L;0.7;0.4;0.5;0.8;0.6;0.7;0.5;0.3;0.3;0.2;0.4;0.4;0.3;0.7;0.6;0.8;0.6;0.3;0.8;0.4;0.3;0.6;0.7;0.6;0.6;1;0.7;0.7;0.6;0.8;0.7;0.7;0.8;0.4;0.7
38L;0.8;0.4;0.5;0.7;0.6;0.6;0.4;0.4;0.3;0.3;0.3;0.4;0.2;0.7;0.6;0.7;0.6;0.3;0.7;0.3;0.3;0.5;0.6;0.4;0.5;0.7;1;0.8;0.5;0.8;0.6;0.8;0.7;0.3;0.7
39L;0.7;0.3;0.4;0.7;0.5;0.7;0.5;0.5;0.3;0.2;0.4;0.4;0.3;0.6;0.6;0.7;0.7;0.4;0.7;0.4;0.3;0.5;0.6;0.4;0.5;0.7;0.8;1;0.5;0.8;0.7;0.7;0.7;0.4;0.2
40L;0.8;0.4;0.4;0.6;0.5;0.5;0.4;0.3;0.3;0.3;0.4;0.4;0.3;0.5;0.5;0.5;0.3;0.3;0.5;0.4;0.3;0.5;0.5;0.5;0.5;0.6;0.5;0.5;1;0.6;0.4;0.5;0.5;0.4;0.3
41L;0.8;0.4;0.5;0.8;0.6;0.7;0.5;0.5;0.3;0.3;0.4;0.4;0.3;0.7;0.6;0.8;0.6;0.3;0.8;0.4;0.3;0.6;0.7;0.5;0.6;0.8;0.8;0.8;0.6;1;0.7;0.7;0.7;0.4;0.7
42L;0.7;0.3;0.5;0.7;0.5;0.5;0.3;0.3;0.2;0.3;0.2;0.3;0.2;0.7;0.7;0.7;0.7;0.3;0.7;0.3;0.2;0.4;0.5;0.4;0.5;0.7;0.6;0.7;0.4;0.7;1;0.7;0.7;0.3;0.7
43L;0.7;0.4;0.5;0.7;0.6;0.5;0.4;0.3;0.2;0.2;0.3;0.3;0.2;0.6;0.7;0.7;0.7;0.3;0.7;0.3;0.2;0.5;0.6;0.4;0.5;0.7;0.8;0.7;0.5;0.7;0.7;1;0.7;0.3;0.7
48L;0.8;0.4;0.5;0.7;0.7;0.6;0.4;0.4;0.3;0.3;0.4;0.4;0.3;0.7;0.6;0.7;0.6;0.3;0.8;0.4;0.3;0.5;0.6;0.5;0.6;0.8;0.7;0.7;0.5;0.7;0.7;0.7;1;0.4;0.8
49L;0.5;0.3;0.1;0.3;0.4;0.4;0.7;0.6;0.6;0.7;0.8;0.7;0.5;0.4;0.3;0.3;0.2;0.7;0.3;0.5;0.8;0.4;0.4;0.7;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.3;0.4;1;0.3
50L;0.7;0.4;0.4;0.7;0.6;0.6;0.4;0.4;0.3;0.3;0.3;0.4;0.2;0.6;0.6;0.7;0.7;0.3;0.7;0.3;0.3;0.4;0.4;0.4;0.6;0.7;0.7;0.2;0.3;0.7;0.7;0.7;0.8;0.3;1